Origin,rate,k,n,ci_low,ci_high,lift
SJC,0.16503324493639263,21470,130095,0.1630259548477064,0.16706031703497878,0.7012958341159139
PDX,0.17635173661898504,28454,161348,0.17449978209218986,0.1782191025244949,0.7493928770392171
SMF,0.17653755398860202,25587,144938,0.1745832018523495,0.17850905249637683,0.7501824933814819
SNA,0.18627557011309562,24113,129448,0.18416396759334303,0.1884057927429209,0.7915634293455848
HNL,0.19366875141085396,14585,75309,0.19086200182929627,0.19650675202741655,0.8229801735717553
LAX,0.1989807018250675,98778,496420,0.19787243124991488,0.20009363130512736,0.845552890347421
SLC,0.19948316034738403,47088,236050,0.19787595507438716,0.20110014699469275,0.8476880484402795
PHX,0.2015540116550874,80621,399997,0.20031366571107495,0.2028000901375827,0.8564879686971077
MSP,0.20184011120340392,47627,235964,0.20022546773451186,0.20346446286830303,0.85770372629464
HOU,0.20824629380053908,24723,118720,0.20594593396929312,0.21056553443992998,0.8849262969329881
IAD,0.20860634230452058,27826,133390,0.20643425750889863,0.21079521075165106,0.886456294819288
STL,0.2137790749093482,36258,169605,0.21183441465433905,0.21573670083637608,0.9084374164300236
DTW,0.2149143417832398,57167,265999,0.21335744904948833,0.2164794689031957,0.9132616439944566
SEA,0.21836788334514204,76434,350024,0.21700229573390226,0.2197396528528527,0.9279371980698896
RDU,0.21864992531431374,39669,181427,0.2167539280222321,0.2205578371677498,0.9291357133030004
SFO,0.21915324792295746,75916,346406,0.21777877577952823,0.22053394910929028,0.9312745432629532
BNA,0.2207970088323382,57872,262105,0.21921314456466542,0.22238905738104717,0.9382595763602276
MSY,0.2208907867592192,35227,159477,0.21886144258493997,0.22293357738816758,0.93865807830739
AUS,0.22262467513864162,54395,244335,0.2209794942245758,0.22427857808020835,0.9460261010217201
SAN,0.2227643647541769,58119,260899,0.22117176900346505,0.2243651246813295,0.9466197010898876
TPA,0.2300041930301474,48820,212257,0.22821874247235624,0.23179941661893416,0.9773847836743669
DCA,0.23055916530124113,61210,265485,0.22896087771946688,0.23216525045299485,0.9797430948250558
LAS,0.23682327236880146,99938,421994,0.23554296412354594,0.2381083722012036,1.0063619266406048
IAH,0.23778749745806232,68990,290133,0.23624183789373746,0.23934010074965886,1.0104593255526197
BOS,0.24137506800703173,88288,365771,0.2399909972905607,0.242764571210518,1.0257044252993943
DAL,0.24258064516129033,37224,153450,0.24044239503756737,0.2447317838798277,1.0308274308872243
PHL,0.2433393894533791,54244,222915,0.24156249725781534,0.24512512780474013,1.0340516552633867
MDW,0.24413545821386234,41806,171241,0.24210656332424946,0.24617583291465722,1.0374344870413832
LGA,0.24470845457614585,76108,311015,0.24320067394834488,0.24622254175435293,1.039869390154316
JFK,0.24587939010905702,66488,270409,0.24425997619285672,0.24750602431649188,1.0448451888884764
BWI,0.2460439498274612,47843,194449,0.24413457979433428,0.24796335414503795,1.0455444725087228
ATL,0.24693739388338456,137877,558348,0.2458080074652138,0.24807026256931275,1.0493410929695044
DEN,0.2566296647727489,134689,524838,0.2554497702240876,0.25781312203842593,1.090527638143805
ORD,0.25760376746089503,127781,496037,0.25638864112644383,0.2588226482820289,1.0946670111377814
EWR,0.2631553323781836,75674,287564,0.26154903405854524,0.2647679586826903,1.1182579509561137
CLT,0.2668885687632078,84111,315154,0.2653470709400885,0.2684357495854853,1.1341220462515587
MCO,0.2705049042196037,102731,379775,0.2690943952333153,0.27192005605727493,1.1494893802169883
MIA,0.2865490958542401,79438,277223,0.2848689120298491,0.28823519536117204,1.2176679145448115
FLL,0.2867055634757203,65159,227268,0.2848499241194983,0.2885684135088268,1.21833281143368
DFW,0.29900160258945907,132281,442409,0.2976542674848538,0.30035242834971854,1.2705838655162371
