Reporting_Airline,rate,k,n,ci_low,ci_high,lift
OO,0.19200169338121514,78915,411012,0.19080040770893586,0.19320873652644288,0.8158961411886693
DL,0.1995831677771853,405360,2031033,0.19903404646993933,0.200133425529895,0.8481130221716467
9E,0.20002869852202612,11152,55752,0.19672887300885264,0.20336986032279528,0.8500062701378238
YX,0.21378631789634361,69748,326251,0.21238286622527144,0.21519650981056912,0.9084681949353387
UA,0.2154365963962576,366376,1700621,0.21481932837244969,0.2160551500402029,0.9154809240225404
MQ,0.23318586131420854,25036,107365,0.23066601547139767,0.23572480009273342,0.9909050335731724
AS,0.23517464115833378,112429,478066,0.23397453947389488,0.2363789989284321,0.9993561975807411
WN,0.23558675299422158,543505,2307027,0.23503958621674095,0.23613480035804849,1.0011074345136959
AA,0.25835365318920095,512600,1984102,0.257745033801241,0.2589632083222067,1.0978535917417476
G4,0.2596830985915493,590,2272,0.24206995347779048,0.27810754920956704,1.1035029657373374
OH,0.2628669314023203,20256,77058,0.25977075672941013,0.2659867486557193,1.1170324136226761
NK,0.2788252314363482,143005,512884,0.27759964224243566,0.28005413388872397,1.1848459583284658
B6,0.2971202177151931,133415,449027,0.295785281018344,0.29845862581266513,1.2625890680122558
HA,0.3079499011206328,11679,37925,0.303323302683113,0.3126154029165855,1.3086089584892098
F9,0.3141076384816856,128563,409296,0.3126873726002415,0.3155313938543214,1.3347757805773937
