month,rate,k,n,ci_low,ci_high,lift
1,0.24030863227787125,253925,1056662,0.23949488936305727,0.24112426345351282,1.0211726902874525
2,0.2033806493784221,201621,991348,0.2025894382338318,0.2041741593897709,0.8642501224759256
3,0.24246593354156198,278452,1148417,0.2416829463102584,0.24325064373510005,1.0303399728537161
4,0.22855531279898328,192066,840348,0.22765876533773247,0.22945434203479267,0.9712278807385982
5,0.2524106947810502,220691,874333,0.2515012355371198,0.25332232970609037,1.0725994559731236
6,0.29900225711975603,255536,854629,0.2980325120523391,0.29997380916881816,1.2705866468914124
7,0.33116595945415744,292044,881866,0.33018441340183974,0.3321489764556323,1.4072637780085622
8,0.2536517887736843,219857,866767,0.2527368838311386,0.2545688773874906,1.0778733875807582
9,0.1887949078119565,155776,825107,0.18795193182926961,0.1896407816488998,0.802269157355861
10,0.1808070445218879,158967,879208,0.18000396755477382,0.1816129108319106,0.7683253586323272
11,0.1786440069530692,148299,830137,0.17782146823884504,0.17946951991243593,0.7591337000872055
12,0.22048024127420562,185395,840869,0.21959540395195656,0.22136763261663936,0.9369134974596579
